"","RNA_Label","label","V2"
"0_with_shape.csv",0,"Train_A_With_Shape33","0.00171064515894611"
"1_with_shape.csv",1,"Train_A_With_Shape33","0.00136070740516859"
"2_with_shape.csv",2,"Train_A_With_Shape33","0.000151165537536144"
"3_with_shape.csv",3,"Train_A_With_Shape33","0.00347436380306007"
"4_with_shape.csv",4,"Train_A_With_Shape33","0.000853544175170189"
"5_with_shape.csv",5,"Train_A_With_Shape33","0.00855325628910668"
"6_with_shape.csv",6,"Train_A_With_Shape33","0.00328044980167439"
"7_with_shape.csv",7,"Train_A_With_Shape33","0"
"8_with_shape.csv",8,"Train_A_With_Shape33","0.00308385306433439"
"9_with_shape.csv",9,"Train_A_With_Shape33","0.000979084216451959"
"10_with_shape.csv",10,"Train_A_With_Shape33","0.00421547158963424"
"11_with_shape.csv",11,"Train_A_With_Shape33","0"
"12_with_shape.csv",12,"Train_A_With_Shape33","0.00676648142367089"
"13_with_shape.csv",13,"Train_A_With_Shape33","0.0172386113597854"
"14_with_shape.csv",14,"Train_A_With_Shape33","0.00722772391665622"
"15_with_shape.csv",15,"Train_A_With_Shape33","0"
"16_with_shape.csv",16,"Train_A_With_Shape33","0.00457306129656189"
"17_with_shape.csv",17,"Train_A_With_Shape33","0.0017387583852644"
"18_with_shape.csv",18,"Train_A_With_Shape33","0.00212218174912215"
"19_with_shape.csv",19,"Train_A_With_Shape33","0.000359967328463304"
"20_with_shape.csv",20,"Train_A_With_Shape33","0.000121636837720866"
"21_with_shape.csv",21,"Train_A_With_Shape33","0.00437783801391561"
"22_with_shape.csv",22,"Train_A_With_Shape33","0.000810711448791515"
"23_with_shape.csv",23,"Train_A_With_Shape33","0"
"24_with_shape.csv",24,"Train_A_With_Shape33","0.00442110424513811"
"25_with_shape.csv",25,"Train_A_With_Shape33","0.00314229596535129"
"26_with_shape.csv",26,"Train_A_With_Shape33","0.00213830091577563"
"27_with_shape.csv",27,"Train_A_With_Shape33","0.000403723269700999"
"28_with_shape.csv",28,"Train_A_With_Shape33","0.000481791620589929"
"29_with_shape.csv",29,"Train_A_With_Shape33","0.00209233394409224"
"30_with_shape.csv",30,"Train_A_With_Shape33","0.00354576174842854"
"31_with_shape.csv",31,"Train_A_With_Shape33","0.00194577202200889"
"32_with_shape.csv",32,"Train_A_With_Shape33","0.000416303686553466"
"33_with_shape.csv",33,"Train_A_With_Shape33","0.00357608916125408"
"34_with_shape.csv",34,"Train_A_With_Shape33","0.00799950288991331"
"35_with_shape.csv",35,"Train_A_With_Shape33","0.0471376797808781"
"36_with_shape.csv",36,"Train_A_With_Shape33","0.00155910831635623"
"37_with_shape.csv",37,"Train_A_With_Shape33","0.000538603177786011"
"38_with_shape.csv",38,"Train_A_With_Shape33","0.00453990339767874"
"39_with_shape.csv",39,"Train_A_With_Shape33","0.0111686754069137"
"40_with_shape.csv",40,"Train_A_With_Shape33","0.000314884972959859"
"41_with_shape.csv",41,"Train_A_With_Shape33","0.00930484102354986"
"42_with_shape.csv",42,"Train_A_With_Shape33","0.00737605882909459"
"43_with_shape.csv",43,"Train_A_With_Shape33","0.0187417943359338"
"44_with_shape.csv",44,"Train_A_With_Shape33","0.00133693861229686"
"45_with_shape.csv",45,"Train_A_With_Shape33","9.44381952285769e-05"
"46_with_shape.csv",46,"Train_A_With_Shape33","0.00238630178644161"
"47_with_shape.csv",47,"Train_A_With_Shape33","0.000638078674674034"
"48_with_shape.csv",48,"Train_A_With_Shape33","0.00254261915178657"
"49_with_shape.csv",49,"Train_A_With_Shape33","0.00221240291549898"
"50_with_shape.csv",50,"Train_A_With_Shape33","0.00483212682261968"
"51_with_shape.csv",51,"Train_A_With_Shape33","0.0011589190363884"
"52_with_shape.csv",52,"Train_A_With_Shape33","0.000301531058080338"
"53_with_shape.csv",53,"Train_A_With_Shape33","2.72605195641516e-05"
"54_with_shape.csv",54,"Train_A_With_Shape33","0.00016492376682901"
"55_with_shape.csv",55,"Train_A_With_Shape33","0"
"56_with_shape.csv",56,"Train_A_With_Shape33","0.00323975227852615"
